batting_team,bowling_team,match_id,start_date,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,dreamll_score,strike_rate,bowler,type
Mumbai Indians,Rising Pune Supergiants,980957,2016-05-01,AT Rayudu,22,19,1.0,1.0,0,0,0,29.0,115.78947368421052,R Ashwin,caught
Mumbai Indians,Rising Pune Supergiants,980957,2016-05-01,JC Buttler,27,17,2.0,1.0,0,0,0,35.0,158.8235294117647,0,0
Mumbai Indians,Rising Pune Supergiants,980957,2016-05-01,PA Patel,21,16,4.0,0.0,0,0,0,29.0,131.25,AB Dinda,caught
Mumbai Indians,Rising Pune Supergiants,980957,2016-05-01,RG Sharma,85,61,8.0,3.0,1,0,0,111.0,139.34426229508196,0,0
Rising Pune Supergiants,Mumbai Indians,980957,2016-05-01,AM Rahane,4,6,0.0,0.0,0,0,0,8.0,66.66666666666666,MJ McClenaghan,caught
Rising Pune Supergiants,Mumbai Indians,980957,2016-05-01,MS Dhoni,24,25,2.0,0.0,0,0,0,30.0,96.0,JJ Bumrah,caught
Rising Pune Supergiants,Mumbai Indians,980957,2016-05-01,NLTC Perera,12,10,0.0,1.0,0,0,0,18.0,120.0,0,0
Rising Pune Supergiants,Mumbai Indians,980957,2016-05-01,PSP Handscomb,6,12,0.0,0.0,0,0,0,10.0,50.0,Harbhajan Singh,caught
Rising Pune Supergiants,Mumbai Indians,980957,2016-05-01,R Bhatia,3,2,0.0,0.0,0,0,0,7.0,150.0,0,0
Rising Pune Supergiants,Mumbai Indians,980957,2016-05-01,SPD Smith,45,24,4.0,3.0,0,0,0,59.0,187.5,JJ Bumrah,caught
Rising Pune Supergiants,Mumbai Indians,980957,2016-05-01,SS Tiwary,57,48,4.0,2.0,1,0,0,77.0,118.75,JJ Bumrah,caught
