batting_team,bowling_team,match_id,start_date,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,dreamll_score,strike_rate,bowler,type
Mumbai Indians,Sunrisers Hyderabad,1216495,2020-11-03,DS Kulkarni,3,2,0.0,0.0,0,0,0,7.0,150.0,0,0
Mumbai Indians,Sunrisers Hyderabad,1216495,2020-11-03,Ishan Kishan,33,30,1.0,2.0,0,0,0,42.0,110.0,Sandeep Sharma,bowled
Mumbai Indians,Sunrisers Hyderabad,1216495,2020-11-03,JL Pattinson,4,5,0.0,0.0,0,0,0,8.0,80.0,0,0
Mumbai Indians,Sunrisers Hyderabad,1216495,2020-11-03,KA Pollard,41,25,2.0,4.0,0,0,0,55.0,164.0,JO Holder,bowled
Mumbai Indians,Sunrisers Hyderabad,1216495,2020-11-03,KH Pandya,0,3,0.0,0.0,0,0,1,2.0,0.0,S Nadeem,caught
Mumbai Indians,Sunrisers Hyderabad,1216495,2020-11-03,NM Coulter-Nile,1,3,0.0,0.0,0,0,0,5.0,33.33333333333333,JO Holder,caught
Mumbai Indians,Sunrisers Hyderabad,1216495,2020-11-03,Q de Kock,25,13,2.0,2.0,0,0,0,35.0,192.30769230769232,Sandeep Sharma,bowled
Mumbai Indians,Sunrisers Hyderabad,1216495,2020-11-03,RG Sharma,4,7,0.0,0.0,0,0,0,8.0,57.14285714285714,Sandeep Sharma,caught
Mumbai Indians,Sunrisers Hyderabad,1216495,2020-11-03,SA Yadav,36,29,5.0,0.0,0,0,0,45.0,124.13793103448276,S Nadeem,stumped
Mumbai Indians,Sunrisers Hyderabad,1216495,2020-11-03,SS Tiwary,1,3,0.0,0.0,0,0,0,5.0,33.33333333333333,Rashid Khan,caught
Sunrisers Hyderabad,Mumbai Indians,1216495,2020-11-03,DA Warner,85,61,10.0,1.0,1,0,0,109.0,139.34426229508196,0,0
Sunrisers Hyderabad,Mumbai Indians,1216495,2020-11-03,WP Saha,58,46,7.0,1.0,1,0,0,79.0,126.08695652173914,0,0
