batting_team,bowling_team,match_id,start_date,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,dreamll_score,strike_rate,bowler,type
Kings XI Punjab,Mumbai Indians,548339,2012-04-25,DA Miller,34,17,1.0,3.0,0,0,0,45.0,200.0,0,0
Kings XI Punjab,Mumbai Indians,548339,2012-04-25,DJ Hussey,68,44,4.0,4.0,1,0,0,92.0,154.54545454545453,0,0
Kings XI Punjab,Mumbai Indians,548339,2012-04-25,Mandeep Singh,22,16,4.0,0.0,0,0,0,30.0,137.5,RP Singh,caught
Kings XI Punjab,Mumbai Indians,548339,2012-04-25,N Saini,17,22,2.0,0.0,0,0,0,23.0,77.27272727272727,CJ McKay,caught
Kings XI Punjab,Mumbai Indians,548339,2012-04-25,SE Marsh,17,27,1.0,0.0,0,0,0,22.0,62.96296296296296,JEC Franklin,caught
Mumbai Indians,Kings XI Punjab,548339,2012-04-25,AT Rayudu,34,17,2.0,2.0,0,0,0,44.0,200.0,0,0
Mumbai Indians,Kings XI Punjab,548339,2012-04-25,Harbhajan Singh,0,2,0.0,0.0,0,0,1,2.0,0.0,P Awana,caught
Mumbai Indians,Kings XI Punjab,548339,2012-04-25,JEC Franklin,22,23,2.0,0.0,0,0,0,28.0,95.65217391304348,Azhar Mahmood,caught
Mumbai Indians,Kings XI Punjab,548339,2012-04-25,KA Pollard,3,8,0.0,0.0,0,0,0,7.0,37.5,P Awana,caught
Mumbai Indians,Kings XI Punjab,548339,2012-04-25,KD Karthik,3,6,0.0,0.0,0,0,0,7.0,50.0,PP Chawla,caught
Mumbai Indians,Kings XI Punjab,548339,2012-04-25,RG Sharma,50,31,3.0,3.0,1,0,0,71.0,161.29032258064515,P Awana,caught
Mumbai Indians,Kings XI Punjab,548339,2012-04-25,RJ Peterson,16,7,2.0,1.0,0,0,0,24.0,228.57142857142856,0,0
Mumbai Indians,Kings XI Punjab,548339,2012-04-25,SR Tendulkar,34,29,4.0,0.0,0,0,0,42.0,117.2413793103448,Azhar Mahmood,caught
