batting_team,bowling_team,match_id,start_date,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,dreamll_score,strike_rate,bowler,type
Chennai Super Kings,Mumbai Indians,1175370,2019-04-03,AT Rayudu,0,1,0.0,0.0,0,0,1,2.0,0.0,JP Behrendorff,caught
Chennai Super Kings,Mumbai Indians,1175370,2019-04-03,DJ Bravo,8,10,0.0,1.0,0,0,0,14.0,80.0,SL Malinga,caught
Chennai Super Kings,Mumbai Indians,1175370,2019-04-03,DL Chahar,7,7,1.0,0.0,0,0,0,12.0,100.0,HH Pandya,caught
Chennai Super Kings,Mumbai Indians,1175370,2019-04-03,KM Jadhav,58,56,8.0,1.0,1,0,0,80.0,103.57142857142858,SL Malinga,caught
Chennai Super Kings,Mumbai Indians,1175370,2019-04-03,MM Sharma,0,2,0.0,0.0,0,0,1,2.0,0.0,0,0
Chennai Super Kings,Mumbai Indians,1175370,2019-04-03,MS Dhoni,12,22,0.0,0.0,0,0,0,16.0,54.54545454545454,HH Pandya,caught
Chennai Super Kings,Mumbai Indians,1175370,2019-04-03,RA Jadeja,1,2,0.0,0.0,0,0,0,5.0,50.0,HH Pandya,caught
Chennai Super Kings,Mumbai Indians,1175370,2019-04-03,SK Raina,16,16,2.0,1.0,0,0,0,24.0,100.0,JP Behrendorff,caught
Chennai Super Kings,Mumbai Indians,1175370,2019-04-03,SN Thakur,12,5,1.0,1.0,0,0,0,19.0,240.0,0,0
Chennai Super Kings,Mumbai Indians,1175370,2019-04-03,SR Watson,5,6,1.0,0.0,0,0,0,10.0,83.33333333333334,SL Malinga,caught
Mumbai Indians,Chennai Super Kings,1175370,2019-04-03,HH Pandya,25,9,1.0,3.0,0,0,0,36.0,277.77777777777777,0,0
Mumbai Indians,Chennai Super Kings,1175370,2019-04-03,KA Pollard,17,9,0.0,2.0,0,0,0,25.0,188.88888888888889,0,0
Mumbai Indians,Chennai Super Kings,1175370,2019-04-03,KH Pandya,42,32,5.0,1.0,0,0,0,53.0,131.25,MM Sharma,caught
Mumbai Indians,Chennai Super Kings,1175370,2019-04-03,Q de Kock,4,7,1.0,0.0,0,0,0,9.0,57.14285714285714,DL Chahar,caught
Mumbai Indians,Chennai Super Kings,1175370,2019-04-03,RG Sharma,13,19,1.0,0.0,0,0,0,18.0,68.42105263157895,RA Jadeja,caught
Mumbai Indians,Chennai Super Kings,1175370,2019-04-03,SA Yadav,59,43,8.0,1.0,1,0,0,81.0,137.2093023255814,DJ Bravo,caught
Mumbai Indians,Chennai Super Kings,1175370,2019-04-03,Yuvraj Singh,4,6,0.0,0.0,0,0,0,8.0,66.66666666666666,Imran Tahir,caught
