batting_team,bowling_team,match_id,start_date,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,dreamll_score,strike_rate,bowler,type
Kolkata Knight Riders,Rising Pune Supergiant,1082620,2017-04-26,DM Bravo,6,5,1.0,0.0,0,0,0,11.0,120.0,0,0
Kolkata Knight Riders,Rising Pune Supergiant,1082620,2017-04-26,G Gambhir,62,48,6.0,1.0,1,0,0,82.0,129.16666666666669,DT Christian,caught
Kolkata Knight Riders,Rising Pune Supergiant,1082620,2017-04-26,RV Uthappa,87,49,7.0,6.0,1,0,0,118.0,177.55102040816325,JD Unadkat,caught
Kolkata Knight Riders,Rising Pune Supergiant,1082620,2017-04-26,SP Narine,16,12,3.0,0.0,0,0,0,23.0,133.33333333333331,Washington Sundar,run out
Rising Pune Supergiant,Kolkata Knight Riders,1082620,2017-04-26,AM Rahane,46,42,4.0,1.0,0,0,0,56.0,109.52380952380952,SP Narine,stumped
Rising Pune Supergiant,Kolkata Knight Riders,1082620,2017-04-26,DT Christian,16,8,0.0,2.0,0,0,0,24.0,200.0,UT Yadav,caught
Rising Pune Supergiant,Kolkata Knight Riders,1082620,2017-04-26,MK Tiwary,1,2,0.0,0.0,0,0,0,5.0,50.0,Kuldeep Yadav,stumped
Rising Pune Supergiant,Kolkata Knight Riders,1082620,2017-04-26,MS Dhoni,23,11,1.0,2.0,0,0,0,32.0,209.0909090909091,Kuldeep Yadav,stumped
Rising Pune Supergiant,Kolkata Knight Riders,1082620,2017-04-26,RA Tripathi,38,25,7.0,0.0,0,0,0,49.0,152.0,PP Chawla,bowled
Rising Pune Supergiant,Kolkata Knight Riders,1082620,2017-04-26,SPD Smith,51,37,4.0,1.0,1,0,0,69.0,137.83783783783784,0,0
