batting_team,bowling_team,match_id,start_date,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,dreamll_score,strike_rate,bowler,type
Kolkata Knight Riders,Rising Pune Supergiant,1082631,2017-05-03,C de Grandhomme,36,19,3.0,2.0,0,0,0,47.0,189.4736842105263,JD Unadkat,caught
Kolkata Knight Riders,Rising Pune Supergiant,1082631,2017-05-03,CR Woakes,1,3,0.0,0.0,0,0,0,5.0,33.33333333333333,DT Christian,run out
Kolkata Knight Riders,Rising Pune Supergiant,1082631,2017-05-03,G Gambhir,24,19,3.0,1.0,0,0,0,33.0,126.3157894736842,Washington Sundar,caught
Kolkata Knight Riders,Rising Pune Supergiant,1082631,2017-05-03,MK Pandey,37,32,4.0,1.0,0,0,0,47.0,115.625,DT Christian,caught
Kolkata Knight Riders,Rising Pune Supergiant,1082631,2017-05-03,NM Coulter-Nile,6,5,0.0,1.0,0,0,0,12.0,120.0,BA Stokes,caught
Kolkata Knight Riders,Rising Pune Supergiant,1082631,2017-05-03,SA Yadav,30,16,2.0,2.0,0,0,0,40.0,187.5,0,0
Kolkata Knight Riders,Rising Pune Supergiant,1082631,2017-05-03,SP Jackson,10,9,2.0,0.0,0,0,0,16.0,111.11111111111111,Washington Sundar,hit wicket
Kolkata Knight Riders,Rising Pune Supergiant,1082631,2017-05-03,SP Narine,0,6,0.0,0.0,0,0,1,2.0,0.0,JD Unadkat,caught and bowled
Kolkata Knight Riders,Rising Pune Supergiant,1082631,2017-05-03,UT Yadav,2,2,0.0,0.0,0,0,0,6.0,100.0,0,0
Kolkata Knight Riders,Rising Pune Supergiant,1082631,2017-05-03,YK Pathan,4,9,0.0,0.0,0,0,0,8.0,44.44444444444444,Imran Tahir,lbw
Rising Pune Supergiant,Kolkata Knight Riders,1082631,2017-05-03,AM Rahane,11,9,2.0,0.0,0,0,0,17.0,122.22222222222224,UT Yadav,caught
Rising Pune Supergiant,Kolkata Knight Riders,1082631,2017-05-03,BA Stokes,14,15,1.0,0.0,0,0,0,19.0,93.33333333333331,SP Narine,caught and bowled
Rising Pune Supergiant,Kolkata Knight Riders,1082631,2017-05-03,DT Christian,9,10,0.0,1.0,0,0,0,15.0,90.0,0,0
Rising Pune Supergiant,Kolkata Knight Riders,1082631,2017-05-03,MK Tiwary,8,9,1.0,0.0,0,0,0,13.0,88.88888888888889,CR Woakes,bowled
Rising Pune Supergiant,Kolkata Knight Riders,1082631,2017-05-03,MS Dhoni,5,9,0.0,0.0,0,0,0,9.0,55.55555555555556,Kuldeep Yadav,caught
Rising Pune Supergiant,Kolkata Knight Riders,1082631,2017-05-03,RA Tripathi,93,54,9.0,7.0,1,0,0,128.0,172.22222222222223,CR Woakes,caught
Rising Pune Supergiant,Kolkata Knight Riders,1082631,2017-05-03,SPD Smith,9,9,0.0,1.0,0,0,0,15.0,100.0,CR Woakes,bowled
Rising Pune Supergiant,Kolkata Knight Riders,1082631,2017-05-03,Washington Sundar,1,3,0.0,0.0,0,0,0,5.0,33.33333333333333,0,0
