batting_team,bowling_team,match_id,start_date,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,dreamll_score,strike_rate,bowler,type
Chennai Super Kings,Mumbai Indians,335989,2008-04-23,JDP Oram,5,2,1.0,0.0,0,0,0,10.0,250.0,0,0
Chennai Super Kings,Mumbai Indians,335989,2008-04-23,MEK Hussey,5,9,1.0,0.0,0,0,0,10.0,55.55555555555556,DS Kulkarni,bowled
Chennai Super Kings,Mumbai Indians,335989,2008-04-23,ML Hayden,81,47,12.0,2.0,1,0,0,109.0,172.3404255319149,A Nehra,run out
Chennai Super Kings,Mumbai Indians,335989,2008-04-23,MS Dhoni,30,17,4.0,1.0,0,0,0,40.0,176.47058823529412,MA Khote,caught
Chennai Super Kings,Mumbai Indians,335989,2008-04-23,PA Patel,14,12,3.0,0.0,0,0,0,21.0,116.66666666666669,A Nehra,caught
Chennai Super Kings,Mumbai Indians,335989,2008-04-23,S Badrinath,2,1,0.0,0.0,0,0,0,6.0,200.0,0,0
Chennai Super Kings,Mumbai Indians,335989,2008-04-23,SK Raina,53,39,3.0,3.0,1,0,0,74.0,135.8974358974359,MA Khote,caught
Mumbai Indians,Chennai Super Kings,335989,2008-04-23,A Nehra,1,2,0.0,0.0,0,0,0,5.0,50.0,0,0
Mumbai Indians,Chennai Super Kings,335989,2008-04-23,AM Nayar,45,20,6.0,1.0,0,0,0,57.0,225.0,0,0
Mumbai Indians,Chennai Super Kings,335989,2008-04-23,DJ Bravo,24,17,2.0,1.0,0,0,0,32.0,141.1764705882353,Joginder Sharma,caught
Mumbai Indians,Chennai Super Kings,335989,2008-04-23,Harbhajan Singh,28,14,1.0,3.0,0,0,0,39.0,200.0,M Muralitharan,caught
Mumbai Indians,Chennai Super Kings,335989,2008-04-23,L Ronchi,2,4,0.0,0.0,0,0,0,6.0,50.0,JDP Oram,run out
Mumbai Indians,Chennai Super Kings,335989,2008-04-23,MA Khote,9,5,0.0,1.0,0,0,0,15.0,180.0,M Muralitharan,caught
Mumbai Indians,Chennai Super Kings,335989,2008-04-23,RV Uthappa,43,36,6.0,1.0,0,0,0,55.0,119.44444444444444,Joginder Sharma,bowled
Mumbai Indians,Chennai Super Kings,335989,2008-04-23,SM Pollock,17,18,0.0,1.0,0,0,0,23.0,94.44444444444444,P Amarnath,bowled
Mumbai Indians,Chennai Super Kings,335989,2008-04-23,ST Jayasuriya,20,12,4.0,0.0,0,0,0,28.0,166.66666666666669,MS Gony,caught
