batting_team,bowling_team,match_id,start_date,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,dreamll_score,strike_rate,bowler,type
Chennai Super Kings,Kings XI Punjab,548343,2012-04-28,DJ Bravo,30,23,0.0,2.0,0,0,0,38.0,130.43478260869566,P Kumar,caught
Chennai Super Kings,Kings XI Punjab,548343,2012-04-28,F du Plessis,29,20,3.0,2.0,0,0,0,40.0,145.0,Azhar Mahmood,caught and bowled
Chennai Super Kings,Kings XI Punjab,548343,2012-04-28,JA Morkel,8,9,0.0,0.0,0,0,0,12.0,88.88888888888889,Azhar Mahmood,caught
Chennai Super Kings,Kings XI Punjab,548343,2012-04-28,KMDN Kulasekara,5,3,1.0,0.0,0,0,0,10.0,166.66666666666669,0,0
Chennai Super Kings,Kings XI Punjab,548343,2012-04-28,MS Dhoni,1,4,0.0,0.0,0,0,0,5.0,25.0,BA Bhatt,run out
Chennai Super Kings,Kings XI Punjab,548343,2012-04-28,R Ashwin,7,3,1.0,0.0,0,0,0,12.0,233.3333333333333,0,0
Chennai Super Kings,Kings XI Punjab,548343,2012-04-28,RA Jadeja,17,12,1.0,1.0,0,0,0,24.0,141.66666666666669,PP Chawla,caught
Chennai Super Kings,Kings XI Punjab,548343,2012-04-28,S Badrinath,25,18,4.0,0.0,0,0,0,33.0,138.88888888888889,Azhar Mahmood,caught
Chennai Super Kings,Kings XI Punjab,548343,2012-04-28,SK Raina,15,17,1.0,0.0,0,0,0,20.0,88.23529411764706,PP Chawla,stumped
Chennai Super Kings,Kings XI Punjab,548343,2012-04-28,WP Saha,6,14,0.0,0.0,0,0,0,10.0,42.85714285714285,DJ Hussey,bowled
Kings XI Punjab,Chennai Super Kings,548343,2012-04-28,Azhar Mahmood,18,13,0.0,2.0,0,0,0,26.0,138.46153846153845,DJ Bravo,lbw
Kings XI Punjab,Chennai Super Kings,548343,2012-04-28,Bipul Sharma,7,5,1.0,0.0,0,0,0,12.0,140.0,DJ Bravo,run out
Kings XI Punjab,Chennai Super Kings,548343,2012-04-28,DA Miller,19,15,2.0,0.0,0,0,0,25.0,126.66666666666666,JA Morkel,caught
Kings XI Punjab,Chennai Super Kings,548343,2012-04-28,DJ Hussey,7,4,1.0,0.0,0,0,0,12.0,175.0,JA Morkel,caught
Kings XI Punjab,Chennai Super Kings,548343,2012-04-28,Mandeep Singh,56,53,5.0,1.0,1,0,0,75.0,105.66037735849056,DJ Bravo,caught
Kings XI Punjab,Chennai Super Kings,548343,2012-04-28,N Saini,6,4,1.0,0.0,0,0,0,11.0,150.0,KMDN Kulasekara,caught and bowled
Kings XI Punjab,Chennai Super Kings,548343,2012-04-28,P Kumar,6,6,0.0,0.0,0,0,0,10.0,100.0,0,0
Kings XI Punjab,Chennai Super Kings,548343,2012-04-28,PP Chawla,0,2,0.0,0.0,0,0,1,2.0,0.0,JA Morkel,caught
Kings XI Punjab,Chennai Super Kings,548343,2012-04-28,SE Marsh,32,23,4.0,1.0,0,0,0,42.0,139.1304347826087,R Ashwin,run out
