batting_team,bowling_team,match_id,start_date,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,dreamll_score,strike_rate,bowler,type
Kings XI Punjab,Rajasthan Royals,392195,2009-04-26,DPMD Jayawardene,7,10,0.0,0.0,0,0,0,11.0,70.0,MM Patel,caught
Kings XI Punjab,Rajasthan Royals,392195,2009-04-26,IK Pathan,39,34,2.0,2.0,0,0,0,49.0,114.70588235294116,Kamran Khan,bowled
Kings XI Punjab,Rajasthan Royals,392195,2009-04-26,KC Sangakkara,60,53,7.0,1.0,1,0,0,81.0,113.20754716981132,Kamran Khan,run out
Kings XI Punjab,Rajasthan Royals,392195,2009-04-26,PP Chawla,6,7,1.0,0.0,0,0,0,11.0,85.71428571428571,0,0
Kings XI Punjab,Rajasthan Royals,392195,2009-04-26,RS Bopara,11,16,2.0,0.0,0,0,0,17.0,68.75,Kamran Khan,caught
Kings XI Punjab,Rajasthan Royals,392195,2009-04-26,WA Mota,1,2,0.0,0.0,0,0,0,5.0,50.0,0,0
Kings XI Punjab,Rajasthan Royals,392195,2009-04-26,Yuvraj Singh,2,6,0.0,0.0,0,0,0,6.0,33.33333333333333,MM Patel,caught
Rajasthan Royals,Kings XI Punjab,392195,2009-04-26,AD Mascarenhas,4,2,1.0,0.0,0,0,0,9.0,200.0,YA Abdulla,bowled
Rajasthan Royals,Kings XI Punjab,392195,2009-04-26,AS Raut,1,4,0.0,0.0,0,0,0,5.0,25.0,PP Chawla,caught
Rajasthan Royals,Kings XI Punjab,392195,2009-04-26,GC Smith,2,8,0.0,0.0,0,0,0,6.0,25.0,IK Pathan,caught
Rajasthan Royals,Kings XI Punjab,392195,2009-04-26,M Rawat,4,6,0.0,0.0,0,0,0,8.0,66.66666666666666,0,0
Rajasthan Royals,Kings XI Punjab,392195,2009-04-26,RA Jadeja,37,44,2.0,0.0,0,0,0,43.0,84.0909090909091,YA Abdulla,bowled
Rajasthan Royals,Kings XI Punjab,392195,2009-04-26,RJ Quiney,7,8,1.0,0.0,0,0,0,12.0,87.5,YA Abdulla,caught
Rajasthan Royals,Kings XI Punjab,392195,2009-04-26,SA Asnodkar,3,5,0.0,0.0,0,0,0,7.0,60.0,IK Pathan,caught
Rajasthan Royals,Kings XI Punjab,392195,2009-04-26,SK Warne,34,35,3.0,0.0,0,0,0,41.0,97.14285714285714,0,0
Rajasthan Royals,Kings XI Punjab,392195,2009-04-26,YK Pathan,10,13,2.0,0.0,0,0,0,16.0,76.92307692307693,PP Chawla,caught
