batting_team,bowling_team,match_id,start_date,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,dreamll_score
Royal Challengers Bangalore,Sunrisers Hyderabad,1082591,2017-04-05,A Choudhary,6,2,0.0,1.0,0,0,0,12.0
Royal Challengers Bangalore,Sunrisers Hyderabad,1082591,2017-04-05,CH Gayle,32,23,2.0,3.0,0,0,0,44.0
Royal Challengers Bangalore,Sunrisers Hyderabad,1082591,2017-04-05,KM Jadhav,31,18,4.0,1.0,0,0,0,41.0
Royal Challengers Bangalore,Sunrisers Hyderabad,1082591,2017-04-05,Mandeep Singh,24,16,5.0,0.0,0,0,0,33.0
Royal Challengers Bangalore,Sunrisers Hyderabad,1082591,2017-04-05,S Aravind,0,2,0.0,0.0,0,0,1,2.0
Royal Challengers Bangalore,Sunrisers Hyderabad,1082591,2017-04-05,SR Watson,22,17,1.0,1.0,0,0,0,29.0
Royal Challengers Bangalore,Sunrisers Hyderabad,1082591,2017-04-05,STR Binny,11,10,0.0,1.0,0,0,0,17.0
Royal Challengers Bangalore,Sunrisers Hyderabad,1082591,2017-04-05,Sachin Baby,1,3,0.0,0.0,0,0,0,5.0
Royal Challengers Bangalore,Sunrisers Hyderabad,1082591,2017-04-05,TM Head,30,22,3.0,0.0,0,0,0,37.0
Royal Challengers Bangalore,Sunrisers Hyderabad,1082591,2017-04-05,TS Mills,6,3,0.0,1.0,0,0,0,12.0
Royal Challengers Bangalore,Sunrisers Hyderabad,1082591,2017-04-05,YS Chahal,3,7,0.0,0.0,0,0,0,7.0
Sunrisers Hyderabad,Royal Challengers Bangalore,1082591,2017-04-05,BCJ Cutting,16,6,0.0,2.0,0,0,0,24.0
Sunrisers Hyderabad,Royal Challengers Bangalore,1082591,2017-04-05,DA Warner,14,9,2.0,1.0,0,0,0,22.0
Sunrisers Hyderabad,Royal Challengers Bangalore,1082591,2017-04-05,DJ Hooda,16,12,0.0,1.0,0,0,0,22.0
Sunrisers Hyderabad,Royal Challengers Bangalore,1082591,2017-04-05,MC Henriques,52,37,3.0,2.0,1,0,0,71.0
Sunrisers Hyderabad,Royal Challengers Bangalore,1082591,2017-04-05,S Dhawan,40,31,5.0,0.0,0,0,0,49.0
Sunrisers Hyderabad,Royal Challengers Bangalore,1082591,2017-04-05,Yuvraj Singh,62,30,7.0,3.0,1,0,0,87.0
