batting_team,bowling_team,match_id,start_date,striker,Batsman_runs,Balls,Fours,Sixes,Fifties,Hundreds,Duck,dreamll_score,strike_rate,bowler,type
Chennai Super Kings,Royal Challengers Bangalore,419123,2010-03-23,GJ Bailey,18,27,2.0,0.0,0,0,0,24.0,66.66666666666666,R Vinay Kumar,caught
Chennai Super Kings,Royal Challengers Bangalore,419123,2010-03-23,JA Morkel,19,20,1.0,1.0,0,0,0,26.0,95.0,R Vinay Kumar,bowled
Chennai Super Kings,Royal Challengers Bangalore,419123,2010-03-23,L Balaji,0,2,0.0,0.0,0,0,1,2.0,0.0,0,0
Chennai Super Kings,Royal Challengers Bangalore,419123,2010-03-23,M Vijay,3,7,0.0,0.0,0,0,0,7.0,42.85714285714285,A Kumble,caught
Chennai Super Kings,Royal Challengers Bangalore,419123,2010-03-23,ML Hayden,32,32,5.0,0.0,0,0,0,41.0,100.0,R Vinay Kumar,run out
Chennai Super Kings,Royal Challengers Bangalore,419123,2010-03-23,PA Patel,1,3,0.0,0.0,0,0,0,5.0,33.33333333333333,P Kumar,caught
Chennai Super Kings,Royal Challengers Bangalore,419123,2010-03-23,R Ashwin,11,10,1.0,0.0,0,0,0,16.0,110.0,0,0
Chennai Super Kings,Royal Challengers Bangalore,419123,2010-03-23,S Badrinath,31,17,5.0,1.0,0,0,0,42.0,182.35294117647047,R Vinay Kumar,caught
Chennai Super Kings,Royal Challengers Bangalore,419123,2010-03-23,SK Raina,9,8,0.0,1.0,0,0,0,15.0,112.5,R Vinay Kumar,caught
Royal Challengers Bangalore,Chennai Super Kings,419123,2010-03-23,EJG Morgan,1,4,0.0,0.0,0,0,0,5.0,25.0,JA Morkel,bowled
Royal Challengers Bangalore,Chennai Super Kings,419123,2010-03-23,JH Kallis,19,17,4.0,0.0,0,0,0,27.0,111.76470588235294,L Balaji,bowled
Royal Challengers Bangalore,Chennai Super Kings,419123,2010-03-23,MK Pandey,20,30,2.0,0.0,0,0,0,26.0,66.66666666666666,M Muralitharan,caught
Royal Challengers Bangalore,Chennai Super Kings,419123,2010-03-23,MV Boucher,11,7,0.0,1.0,0,0,0,17.0,157.14285714285714,0,0
Royal Challengers Bangalore,Chennai Super Kings,419123,2010-03-23,R Dravid,14,12,3.0,0.0,0,0,0,21.0,116.66666666666669,M Muralitharan,bowled
Royal Challengers Bangalore,Chennai Super Kings,419123,2010-03-23,RV Uthappa,68,38,3.0,6.0,1,0,0,95.0,178.94736842105263,0,0
Royal Challengers Bangalore,Chennai Super Kings,419123,2010-03-23,V Kohli,24,16,2.0,1.0,0,0,0,32.0,150.0,M Muralitharan,stumped
